Fevals:          Best:       Current:    Mean range:   Temperature:
 405000         425.69        428.134    0.000460804       0.277629
 408000          424.5        425.576    0.000412777       0.180097
 411000        423.956        425.008    0.000359569       0.180097
 414000        423.956        426.332     0.00035311       0.180097
 417000        423.257         424.68    0.000346349       0.180097
 420000         423.02        425.413    0.000353186       0.180097
 423000         423.02        424.402    0.000367563       0.180097
 426000         423.02        425.156    0.000376943       0.180097
 429000         423.02        423.786    0.000349751       0.180097
 432000        422.824        423.812    0.000372903       0.180097
 435000        421.901        423.107    0.000350042       0.180097
 438000        420.618        421.414     0.00035577       0.116828
 441000        419.816         421.33    0.000287328       0.116828
 444000        418.995        419.538    0.000286863       0.116828
 447000        418.807        420.538    0.000280256       0.116828

Fevals:          Best:       Current:    Mean range:   Temperature:
 450000        418.807        420.011    0.000274153       0.116828
 453000        418.424        418.929    0.000277477       0.116828
 456000        417.724        418.904    0.000284681       0.116828
 459000        417.347        419.888    0.000273019       0.116828
 462000        416.593        418.385    0.000251685       0.116828
 465000        415.934        416.771    0.000265324       0.116828
 468000        415.934        416.784    0.000275719       0.116828
 471000        415.895        417.109    0.000236411      0.0757858
 474000         415.38        416.692    0.000225663      0.0757858
 477000         415.38        416.646    0.000210053      0.0757858
 480000        415.359        416.226     0.00020919      0.0757858
 483000        415.284        415.479    0.000220521      0.0757858
 486000        414.634        415.061    0.000226452      0.0757858
 489000        414.292        414.847    0.000212408      0.0757858
 492000        413.568        414.513    0.000201218      0.0757858
 495000        413.324        413.626    0.000213173      0.0757858
 498000         412.63         412.96     0.00021016      0.0757858
 501000        411.631         412.03    0.000210696       0.049162
 504000        411.237        412.068    0.000177492       0.049162
 507000         411.01        411.481    0.000164654       0.049162
 510000        410.638        411.124    0.000162629       0.049162
 513000        409.956          410.3    0.000167248       0.049162
 516000        409.956        410.657    0.000161461       0.049162
 519000        409.856        409.856    0.000161857       0.049162
 522000        409.189        409.399     0.00015868       0.049162
 525000        408.731        409.029    0.000144555       0.049162
 528000        408.606        409.028     0.00016389       0.049162
 531000        408.409        409.055    0.000166083       0.049162
 534000        407.783        408.108    0.000128032      0.0318912
 537000        407.057        407.079    0.000130486      0.0318912
 540000         406.77        406.985    0.000128004      0.0318912
 543000        406.302        406.511    0.000124529      0.0318912
 546000        405.752        406.125    0.000124446      0.0318912
 549000        405.442        405.786    0.000120092      0.0318912
 552000        405.009        405.171     0.00012304      0.0318912
 555000        404.471        404.972    0.000123148      0.0318912
 558000        403.715         404.04    0.000113116      0.0318912
 561000        403.484        403.524    0.000115335      0.0318912
 564000        402.887        402.988    0.000104643      0.0206877
 567000        402.365        402.444    9.17241e-05      0.0206877
 570000        401.961         402.01     9.4971e-05      0.0206877
 573000        401.783        402.003    8.60611e-05      0.0206877
 576000        401.267        401.328    8.80977e-05      0.0206877
 579000        400.661        400.661    8.60429e-05      0.0206877
 582000        400.043        400.319    8.92607e-05      0.0206877
 585000        399.457        399.613    8.31105e-05      0.0206877
 588000        399.111         399.76    8.76785e-05      0.0206877
 591000        398.671        398.821    8.77612e-05      0.0206877
 594000        398.104        398.186    8.47686e-05        0.01342
 597000        397.521        397.612    7.24735e-05        0.01342

Fevals:          Best:       Current:    Mean range:   Temperature:
 600000        397.142        397.142     6.7734e-05        0.01342
 603000        396.463        396.592    6.96549e-05        0.01342
 606000        395.999        396.105    6.57969e-05        0.01342
 609000        395.638        395.683    6.84375e-05        0.01342
 612000        395.308        395.334    6.60702e-05        0.01342
 615000        395.081        395.191    6.17472e-05        0.01342
 618000        394.635        394.713    6.04256e-05        0.01342
 621000         394.48        394.701    6.35975e-05        0.01342
 624000        394.058         394.21     6.5743e-05        0.01342
 627000        393.517        393.518    5.79167e-05     0.00870551
 630000        393.183        393.232    5.09952e-05     0.00870551
 633000        392.882         392.96    5.16483e-05     0.00870551
 636000        392.477        392.511    5.03626e-05     0.00870551
 639000        392.075        392.159    5.03132e-05     0.00870551
 642000        391.616        391.663    5.04643e-05     0.00870551
 645000        391.428        391.488    4.61131e-05     0.00870551
 648000        391.167        391.283    4.60263e-05     0.00870551
 651000        390.992        391.061    4.75143e-05     0.00870551
