Gen:        Fevals:          Best:   Improvement:     Mutations:
      1              1        2515.46        16.4113              1
      4              4        2475.67        39.7919              1
      6              6        2465.56        10.1105              1
      7              7        2215.18        250.384              3
      8              8        2169.31        45.8719              1
     15             15        2136.26        33.0422              2
     22             22        1844.32        291.942              1
     28             28        1795.57          48.75              1
     29             29        1658.27        137.297              2
     30             30        1657.42       0.851962              1
     31             31        1616.56        40.8573              2
     35             35        1456.39        160.178              1
     36             36        1427.85        28.5382              2
     47             47        1379.21        48.6391              2
     54             54        1347.17        32.0427              1
     55             55        1334.44         12.727              1
     56             56        1284.74        49.7004              1
     59             59         1252.2        32.5378              1
     64             64        1133.18        119.023              3
     66             66        1122.95        10.2319              1
     67             67        1089.96        32.9864              2
     69             69           1055        34.9576              1
     71             71        1054.87       0.138072              2
     75             75        1045.88        8.98908              1
     79             79        1042.86         3.0162              2
     80             80        1000.75        42.1086              1
     83             83        879.551        121.201              1
     85             85         876.78        2.77041              1
     86             86        728.879        147.902              3
     91             91        689.031        39.8478              2
     99             99        686.104        2.92646              1
    100            100        630.057        56.0476              1
    101            101        627.227         2.8295              1
    104            104        589.343        37.8844              1
    116            116        586.356        2.98653              1
    128            128        584.304        2.05242              2
    132            132        577.366        6.93804              1
    134            134        570.522        6.84348              1
    141            141         519.74        50.7826              1
    143            143        518.977        0.76283              1
    157            157        516.765        2.21183              1
    165            165        462.869        53.8964              1
    167            167        461.135        1.73408              1
    170            170        438.267        22.8681              1
    172            172        430.254        8.01295              1
    176            176        428.715        1.53852              1
    183            183        424.118        4.59748              1
    208            208        409.743        14.3746              1
    209            209        409.193       0.550351              1
    214            214        313.674        95.5187              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    225            225        312.823       0.850762              1
    231            231        303.752        9.07092              1
    242            242        303.241       0.511087              1
    250            250        302.891       0.350056              1
    252            252        302.277       0.614643              1
    270            270        292.552         9.7244              2
    281            281            252        40.5518              1
    288            288        223.407        28.5929              1
    297            297        222.613       0.794282              1
    306            306         190.51        32.1035              1
    318            318        186.832        3.67743              1
    319            319        180.788        6.04399              1
    335            335        131.504        49.2847              2
    337            337        95.8167         35.687              1
    347            347        91.1502        4.66648              1
    350            350        86.8243        4.32589              1
    360            360        85.0782        1.74602              1
    362            362        83.2248        1.85346              1
    372            372        66.6987        16.5261              1
    377            377         57.844        8.85462              1
    381            381        57.7434       0.100668              1
    413            413        56.5454        1.19794              1
    414            414        49.5799        6.96549              1
    438            438        43.3374        6.24254              1
    442            442        42.1185        1.21895              1
    469            469        42.1154     0.00301713              1
    488            488        27.0435        15.0719              1
    495            495        21.2975        5.74603              1
    516            516        18.2534        3.04412              1
    520            520        15.8966        2.35675              1
    523            523       -12.6773        28.5739              2
    531            531       -13.7623        1.08498              1
    549            549       -16.3375        2.57518              1
    553            553       -37.2492        20.9117              1
    554            554       -38.4291        1.17993              1
    558            558       -45.1778        6.74864              1
    564            564       -59.7688         14.591              1
    565            565       -59.8741       0.105364              1
    586            586       -61.4409        1.56679              1
    591            591       -61.7053       0.264365              1
    597            597       -62.0346       0.329344              1
    609            609       -63.0995        1.06483              1
    610            610        -65.167        2.06759              1
    632            632       -71.9433        6.77624              1
    646            646       -78.4798        6.53649              1
    650            650       -84.3534        5.87366              1
    665            665       -85.5418        1.18837              2
    669            669       -88.8046        3.26277              1
    698            698        -96.653        7.84845              1
    743            743       -97.0147       0.361723              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
