Gen:        Fevals:          Best:   Improvement:     Mutations:
    438            438        14339.2        22.9459              2
    439            439        14327.7        11.4554              2
    441            441        14219.3        108.433              1
    443            443        14194.9          24.43              1
    446            446        14194.7       0.143342              1
    448            448        14193.2        1.48431              1
    452            452        14181.7        11.5224              1
    455            455        14169.3        12.3882              1
    457            457        14164.1        5.18326              1
    458            458        14030.7        133.398              1
    460            460        13970.4         60.328              2
    464            464        13933.4        36.9758              1
    466            466          13794        139.433              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    468            468        13793.7       0.327397              1
    470            470        13779.4        14.2903              1
    472            472        13760.2        19.1659              1
    473            473        13750.7        9.55894              1
    479            479        13747.9        2.72674              1
    483            483          13669        78.9284              4
    486            486        13537.8        131.206              3
    490            490        13527.7        10.0789              1
    494            494        13526.4        1.31977              1
    496            496        13515.3        11.0713              1
    498            498        13449.8        65.5486              1
    499            499        13440.6        9.20155              1
    502            502        13421.6        18.9493              2
    503            503        13416.2        5.40762              1
    510            510          13362        54.1949              2
    518            518        13327.6        34.4151              1
    521            521        13320.5        7.16557              1
    522            522        13294.1        26.3569              3
    523            523        13290.9        3.22966              2
    524            524        13278.8        12.0499              2
    527            527        13278.5       0.354605              1
    539            539        13275.3        3.18962              1
    540            540        13275.1        0.21245              1
    545            545        13233.5        41.5697              2
    547            547        13201.9        31.6125              1
    548            548        13120.1        81.7406              3
    552            552        13031.5        88.6001              2
    557            557        13018.3        13.2074              1
    561            561        13001.2        17.0881              1
    563            563        12968.8        32.4755              1
    569            569        12959.8        8.97698              1
    571            571        12933.1        26.7258              2
    574            574        12927.1        5.93796              1
    579            579        12804.9        122.278              1
    582            582          12776        28.8221              3
    583            583        12767.9        8.11951              2
    587            587        12386.7        381.185              3
    588            588        12292.1        94.6329              1
    589            589        12283.3        8.81618              4
    593            593        12267.2        16.0595              1
    600            600        12225.3        41.9637              1
    602            602        12158.2        67.0687              3
    603            603        12147.7        10.4532              2
    608            608        12100.7        47.0111              1
    610            610        12099.1        1.57276              1
    613            613          12086        13.1887              2
    615            615        12074.5        11.4198              1
    616            616          12074       0.536876              1
    619            619        12060.9         13.062              1
    620            620        11833.6        227.342              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    623            623        11813.1        20.5323              1
    625            625        11810.2        2.84997              2
    630            630        11800.2         10.027              2
    631            631        11749.7        50.5132              5
    633            633          11745        4.68589              1
    635            635        11727.9        17.1263              2
    636            636        11678.6        49.2559              2
    638            638        11674.4        4.19128              2
    640            640        11664.3        10.1311              1
    641            641        11565.3        98.9671              1
    646            646        11564.4       0.875616              2
    648            648        11485.2        79.2858              3
    650            650        11432.2        52.9519              1
    654            654        11424.2        7.99745              2
    665            665        11398.2        26.0262              3
    668            668          11394        4.21378              1
    676            676        11314.3         79.692              1
    682            682        11307.5        6.76973              1
    686            686        11277.3        30.2199              2
    687            687        11199.4        77.8919              1
    696            696        11188.3        11.0811              1
    702            702        11103.3        85.0519              4
    707            707        11088.7        14.5869              2
    712            712        11076.6        12.1051              1
    718            718        11042.6        33.9901              2
    724            724          11041         1.5728              1
    726            726        11029.3        11.6728              1
    727            727        11028.9       0.432571              1
    729            729        10837.5        191.422              1
    734            734        10789.9        47.6104              1
    736            736        10741.3        48.5556              2
    742            742        10670.9        70.4216              2
    744            744        10670.9     0.00284306              2
    754            754        10662.5         8.4048              1
    758            758        10504.4        158.096              1
    760            760        10385.1        119.309              3
    766            766        10377.8        7.26814              1
    783            783        10299.7        78.0623              2
    786            786        10212.6        87.1324              1
    799            799        10210.7        1.95559              1
    800            800        10208.9        1.80593              1
    801            801        10205.5        3.32654              1
    802            802        10142.3        63.2654              1
    805            805        10072.2        70.0205              3
    806            806        10004.7        67.5371              1
    809            809        9977.38        27.3259              3
    819            819        9950.32        27.0606              1
    820            820        9916.81        33.5103              2
    822            822        9836.81        79.9956              2
    827            827        9567.89        268.923              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    836            836        9541.61        26.2827              1
    837            837        9522.66        18.9455              1
    841            841        9492.64        30.0211              1
    851            851        9479.85        12.7845              1
    855            855        9477.68        2.17481              2
    858            858        9471.81        5.87132              1
    859            859         9438.1        33.7038              1
    860            860        9432.82        5.28484              1
    868            868         9431.8        1.02168              1
    870            870        9431.66       0.134954              1
    871            871        9421.04        10.6199              1
    881            881        9417.76        3.28546              1
    882            882        9327.59        90.1697              3
    885            885        9308.61        18.9749              1
    888            888        9306.03        2.58296              1
    892            892        9279.94        26.0913              1
    893            893        9242.25        37.6938              1
    896            896        9230.53        11.7118              2
    902            902        9221.73        8.80308              2
    907            907        9166.63        55.0991              1
    909            909        9166.27       0.365195              1
    910            910        9094.84        71.4282              1
    911            911        9057.38         37.457              1
    918            918        9056.12        1.25863              1
    919            919        9033.92        22.2014              1
    922            922        9014.72        19.1977              1
    928            928        9007.94        6.78408              1
    939            939        8953.69        54.2482              1
    944            944        8926.11        27.5811              1
    951            951        8924.43        1.67832              1
    952            952        8856.25        68.1773              1
    966            966        8823.93        32.3204              1
    971            971        8793.14        30.7968              1
    972            972        8757.07        36.0666              1
    983            983        8703.11        53.9567              1
    987            987        8679.01        24.1026              3
    988            988         8676.6         2.4086              1
    990            990        8668.75        7.84931              1
    991            991        8595.13        73.6241              1
    995            995         8576.4        18.7253              1
    999            999        8576.31      0.0936107              1
   1002           1002        8571.03        5.28403              1
   1003           1003        8525.06         45.966              1
   1005           1005         8512.5        12.5555              1
   1009           1009        8510.68        1.82641              2
   1012           1012        8404.46        106.219              2
   1015           1015        8326.75        77.7083              2
   1016           1016        8313.53        13.2204              1
   1025           1025        8311.98        1.55455              2
   1027           1027        8296.13        15.8419              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1029           1029        8237.46        58.6795              1
   1030           1030        7988.08        249.375              1
   1046           1046        7987.66       0.424484              1
   1051           1051        7969.47        18.1853              1
   1052           1052        7945.42        24.0453              2
   1058           1058         7944.5       0.925386              1
   1066           1066        7929.81         14.688              1
   1067           1067           7916        13.8103              2
   1068           1068        7908.72        7.27629              1
   1072           1072        7897.78        10.9404              2
   1073           1073        7816.71        81.0764              1
   1079           1079        7715.89        100.816              2
   1091           1091        7703.77        12.1213              2
   1092           1092        7699.64        4.13258              1
   1100           1100        7680.85        18.7933              2
   1103           1103        7668.96        11.8821              2
   1121           1121        7633.61        35.3519              1
   1127           1127           7570        63.6093              1
   1129           1129         7522.7        47.3063              1
   1134           1134        7511.94        10.7555              1
   1139           1139        7506.29        5.64653              1
   1151           1151        7504.16        2.13473              1
   1152           1152        7503.14        1.01485              1
   1154           1154        7481.76        21.3878              2
   1158           1158        7470.34        11.4213              1
   1165           1165        7416.83        53.5066              1
   1169           1169        7376.04        40.7867              1
   1179           1179         7356.4        19.6391              1
   1185           1185        7345.52        10.8817              2
   1187           1187        7305.67        39.8499              1
   1188           1188        7292.73        12.9379              1
   1189           1189        7288.63        4.10701              5
   1190           1190        7247.81        40.8167              2
   1191           1191        7245.17        2.63722              1
   1193           1193        7224.48        20.6962              1
   1194           1194        7215.76        8.71975              2
   1195           1195        7205.35        10.4095              1
   1198           1198         7199.7        5.64272              1
   1207           1207        7189.85         9.8514              1
   1220           1220        7187.79        2.05803              1
   1222           1222         7178.5        9.29485              1
   1231           1231        7178.26       0.244838              1
   1233           1233        7163.51        14.7436              1
   1238           1238        7141.72        21.7867              2
   1240           1240        7118.38        23.3426              3
   1244           1244        7113.74        4.63916              1
   1249           1249           7111        2.74732              1
   1259           1259        7104.22        6.77722              1
   1265           1265        7088.58        15.6352              3
   1273           1273         7038.6        49.9834              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1286           1286        7035.35        3.24816              1
   1291           1291        7030.37        4.98127              1
   1294           1294        7030.27        0.10281              1
   1301           1301        7030.24      0.0299604              1
   1305           1305        7008.36        21.8813              1
   1315           1315        6976.11        32.2472              2
   1322           1322        6972.98        3.12721              1
   1329           1329        6961.82        11.1665              2
   1333           1333        6955.36        6.45596              1
   1334           1334        6947.78        7.57478              1
   1339           1339        6946.84       0.942778              1
   1342           1342        6942.19        4.65444              1
   1345           1345        6927.28        14.9064              1
   1349           1349        6899.72        27.5604              1
   1364           1364         6863.1        36.6221              3
   1366           1366         6796.7        66.4029              1
   1374           1374        6788.55        8.14607              1
   1375           1375        6763.55        24.9968              1
   1382           1382        6754.06        9.49524              2
   1387           1387        6751.07        2.99208              1
   1389           1389        6739.09        11.9777              1
   1393           1393        6737.92        1.16394              1
   1402           1402        6730.85        7.07069              2
   1409           1409        6711.68        19.1755              1
   1411           1411        6663.08        48.5943              1
   1417           1417        6614.47        48.6144              1
   1422           1422        6612.73        1.73431              1
   1432           1432        6599.72        13.0122              2
   1437           1437         6597.2        2.52156              1
   1438           1438        6524.54        72.6624              1
   1439           1439        6517.55        6.98585              1
   1440           1440        6517.07       0.485414              2
   1447           1447        6352.07        164.998              1
   1450           1450        6315.62        36.4474              1
   1454           1454        6287.66        27.9623              1
   1458           1458        6282.87        4.78521              1
   1461           1461        6265.88        16.9907              1
   1463           1463        6251.08        14.7993              1
   1490           1490         6245.7        5.38195              1
   1491           1491        6214.82        30.8781              1
   1492           1492        6091.81        123.012              1
   1499           1499        6067.34        24.4759              1
   1500           1500        6066.71       0.625857              1
   1510           1510         6055.4        11.3147              1
   1514           1514        5969.11        86.2863              1
   1517           1517        5936.33        32.7768              1
   1526           1526        5927.98         8.3544              1
   1527           1527        5888.69        39.2894              1
   1528           1528        5865.61        23.0827              1
   1532           1532        5846.61        18.9982              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1535           1535        5818.02        28.5862              2
   1539           1539        5817.89         0.1297              3
   1541           1541        5817.82      0.0760467              1
   1553           1553        5805.95        11.8677              1
   1555           1555         5805.1       0.845055              1
   1556           1556         5799.7        5.39922              2
   1567           1567        5794.06        5.64926              1
   1568           1568        5785.77        8.28325              1
   1571           1571        5771.24        14.5352              1
   1574           1574        5767.06        4.17877              1
   1580           1580         5719.3         47.761              1
   1592           1592        5712.25        7.05012              2
   1595           1595        5680.99        31.2531              2
   1598           1598        5678.07        2.92128              1
   1600           1600        5629.68        48.3944              2
   1613           1613        5586.17        43.5045              1
   1614           1614        5583.68        2.49115              2
   1617           1617        5565.57        18.1091              3
   1618           1618        5564.22        1.35636              1
   1625           1625        5564.19      0.0244344              1
