Gen:        Fevals:          Best:   Improvement:     Mutations:
      2              2        839.822        13.9832              1
      5              5        826.369        13.4527              1
     10             10        822.273        4.09568              1
     12             12        781.411        40.8618              3
     13             13        725.101        56.3108              4
     16             16          689.8        35.3006              1
     18             18         665.69        24.1099              3
     23             23        574.299        91.3911              3
     28             28        541.262        33.0367              2
     31             31        537.124        4.13815              1
     37             37        532.839        4.28514              2
     38             38        531.953       0.885704              1
     41             41        518.484        13.4692              1
     42             42        506.324        12.1599              2
     47             47        499.764        6.56059              1
     49             49        469.287        30.4771              2
     50             50         466.69        2.59654              1
     51             51        455.107         11.583              2
     55             55        424.659        30.4478              2
     60             60        369.371        55.2886              2
     63             63        346.256        23.1143              1
     65             65        346.129       0.126907              1
     75             75        345.742       0.386913              1
     79             79        340.624        5.11842              2
     93             93         308.23        32.3939              2
     96             96        306.475        1.75526              1
     97             97        289.646        16.8289              1
    102            102        280.872        8.77431              3
    113            113        279.947       0.924552              1
    119            119        276.596        3.35075              1
    121            121        256.938        19.6583              1
    127            127        231.204        25.7343              1
    129            129        213.097        18.1073              1
    131            131        206.851        6.24567              1
    136            136        203.116        3.73531              1
    137            137        183.234         19.882              2
    139            139        174.787        8.44692              1
    149            149        156.447        18.3395              1
    158            158        111.318        45.1296              2
    164            164        108.864        2.45352              1
    166            166          108.4       0.464048              1
    177            177         108.01       0.389713              1
    188            188        107.506       0.503804              2
    197            197        99.1771        8.32931              1
    202            202        95.5953         3.5818              2
    224            224        94.6802        0.91506              1
    230            230        93.2786         1.4016              2
    237            237        91.0909        2.18772              1
    258            258        86.4025        4.68845              1
    261            261        77.3719        9.03059              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    264            264        75.4165        1.95542              2
    266            266        75.0531       0.363371              1
    268            268         67.805        7.24812              1
    277            277         65.423        2.38203              1
    288            288        61.6341        3.78884              1
    294            294        55.0366        6.59756              1
    302            302        48.8708        6.16575              1
    320            320          44.82        4.05077              1
    329            329        37.1372        7.68282              1
    334            334         34.273        2.86417              1
    347            347        30.5863        3.68678              1
    363            363        9.15743        21.4288              1
    377            377        8.39409       0.763339              1
    388            388       -2.14036        10.5344              1
    411            411       -7.88965        5.74929              1
    430            430       -10.0208        2.13118              1
    442            442       -10.4593        0.43848              1
    443            443       -14.6066        4.14726              1
    445            445       -22.0755        7.46898              1
    471            471       -22.9071       0.831571              2
    500            500       -40.6786        17.7715              1
    536            536       -44.7626        4.08405              1
    551            551       -45.6297       0.867035              1
    569            569       -48.2265        2.59688              1
    573            573       -49.0288       0.802293              1
    578            578        -57.554        8.52516              1
    580            580       -59.5673        2.01329              1
    581            581       -60.6052        1.03793              1
    587            587       -67.2969        6.69171              1
    610            610       -70.0719        2.77502              1
    653            653       -78.1572        8.08528              1
    662            662       -81.8101        3.65285              1
    683            683       -91.9215        10.1115              1
    704            704        -101.93        10.0081              1
    747            747       -102.015      0.0858171              1
    793            793       -107.381        5.36506              1
