Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
  49001        2450050       -136.736    1.13763e-14       -136.736    1.71191e-08
  49501        2475050       -136.736    2.27257e-27       -136.736    1.49722e-08

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
  50001        2500050       -136.736    1.11289e-50       -136.736    1.44747e-08
  50501        2525050       -136.736    4.07471e-56       -136.736    1.33596e-08
  51001        2550050       -136.736    1.40918e-10       -136.736    1.68498e-08
  51501        2575050       -136.736    2.29386e-29       -136.736    1.49963e-08
  52001        2600050       -136.736    6.73092e-11       -136.736    1.57599e-08
  52501        2625050       -136.736    4.31968e-14       -136.736    1.61943e-08
  53001        2650050       -136.736    5.96905e-11       -136.736     1.6213e-08
  53501        2675050       -136.736    9.39559e-17       -136.736    1.64643e-08
  54001        2700050       -136.736    6.20438e-40       -136.736    1.51499e-08
  54501        2725050       -136.736    1.77946e-13       -136.736    2.07666e-08
  55001        2750050       -136.736    1.87094e-10       -136.736    2.05422e-08
  55501        2775050       -136.736    9.40778e-12       -136.736    1.90995e-08
  56001        2800050       -136.736    3.64911e-13       -136.736    1.98579e-08
  56501        2825050       -136.736    2.58485e-10       -136.736    1.94684e-08
  57001        2850050       -136.736    1.51904e-10       -136.736    1.63296e-08
  57501        2875050       -136.736    2.99534e-10       -136.736    2.18793e-08
  58001        2900050       -136.736    3.94622e-13       -136.736    2.27847e-08
  58501        2925050       -136.736     4.3915e-10       -136.736    1.93816e-08
  59001        2950050       -136.736    8.17359e-13       -136.736    1.59607e-08
  59501        2975050       -136.736    1.79801e-34       -136.736    1.43884e-08
Exit condition -- generations = 60000
