Gen:        Fevals:          Best:   Improvement:     Mutations:
    488            488       -118.839     0.00380136              1
    492            492       -118.843     0.00410629              1
    493            493       -118.847     0.00389686              2
    497            497        -118.85     0.00301541              2
    500            500       -118.853     0.00294908              1
    503            503       -118.855     0.00172233              1
    506            506       -118.855    0.000617935              1
    507            507       -118.858     0.00237416              2
    514            514       -118.858    0.000613267              2
    515            515       -118.864     0.00505802              3
    519            519       -118.865     0.00145803              3
    523            523       -118.866     0.00091709              3
    526            526        -118.87     0.00425653              4
    528            528       -118.871    0.000945113              1
    529            529       -118.873     0.00139365              2
    530            530       -118.877     0.00448121              1
    534            534       -118.879     0.00156401              3
    535            535       -118.881     0.00229261              1
    539            539       -118.882     0.00117976              1
    542            542       -118.882    0.000342094              2
    550            550       -118.884     0.00174805              1
    555            555       -118.887     0.00328741              1
    561            561       -118.888    0.000361683              1
    564            564       -118.892     0.00442682              1
    565            565       -118.895     0.00236218              2
    566            566       -118.898     0.00325333              1
    568            568       -118.903     0.00476167              2
    573            573       -118.905     0.00209659              1
    574            574       -118.907     0.00226337              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    576            576       -118.913      0.0060194              3
    581            581       -118.914     0.00126023              1
    584            584       -118.915    0.000458957              2
    593            593       -118.923     0.00786487              3
    596            596       -118.929     0.00634717              1
    600            600       -118.937     0.00774743              1
    603            603       -118.942      0.0056954              1
    604            604       -118.945     0.00274368              1
    610            610       -118.946     0.00113905              1
    616            616       -118.951     0.00500451              1
    625            625       -118.953     0.00153293              3
    626            626       -118.957     0.00380125              1
    629            629       -118.957    0.000712839              1
    630            630       -118.959      0.0012993              2
    631            631       -118.959    0.000594162              1
    635            635        -118.96    0.000741281              2
    636            636       -118.963     0.00297083              1
    638            638       -118.971     0.00803901              3
    639            639       -118.974     0.00350093              1
    646            646       -118.975    0.000696325              1
    647            647       -118.976     0.00076422              1
    648            648       -118.978     0.00165747              3
    652            652       -118.979     0.00133513              1
    653            653       -118.979    0.000325163              1
    657            657       -118.983     0.00429534              1
    660            660       -118.992     0.00894138              1
    661            661       -118.996     0.00332547              2
    662            662       -119.008      0.0118983              1
    663            663       -119.008    7.72449e-06              1
    672            672       -119.009     0.00108493              1
    673            673       -119.012     0.00346691              2
    674            674       -119.013    0.000653345              3
    682            682       -119.015     0.00222744              3
    684            684       -119.029      0.0138841              3
    686            686       -119.031     0.00188153              2
    688            688       -119.034     0.00276422              1
    689            689       -119.035    0.000982106              2
    690            690       -119.036     0.00178465              2
    699            699       -119.037    0.000607389              1
    704            704       -119.038    0.000793766              1
    705            705       -119.042     0.00453119              2
    709            709       -119.045     0.00311966              2
    710            710       -119.045    3.31005e-05              3
    717            717       -119.052     0.00639711              3
    722            722       -119.054      0.0019301              2
    724            724       -119.054    0.000712183              1
    733            733       -119.055    0.000672715              2
    739            739        -119.06     0.00513874              3
    741            741       -119.061    0.000889113              1
    748            748       -119.067     0.00545177              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    751            751       -119.073      0.0060638              3
    752            752       -119.077     0.00436898              1
    754            754       -119.078     0.00115247              2
    757            757       -119.081     0.00230719              1
    758            758       -119.089     0.00875538              1
    768            768        -119.09     0.00114075              1
    772            772       -119.102      0.0111151              3
    774            774       -119.102    0.000553107              1
    777            777       -119.104     0.00159934              2
    778            778       -119.116      0.0118587              1
    785            785       -119.119     0.00363768              1
    786            786        -119.12    0.000460667              3
    789            789       -119.127     0.00769027              2
    792            792       -119.135     0.00756152              1
    794            794       -119.141     0.00614028              2
    799            799       -119.145      0.0038509              2
    800            800       -119.147     0.00212922              1
    802            802       -119.148     0.00123984              1
    804            804        -119.15     0.00131426              1
    811            811       -119.158     0.00850012              2
    814            814       -119.159     0.00112237              1
    815            815       -119.164     0.00429604              1
    816            816       -119.174      0.0104629              2
    821            821       -119.175      0.0007111              2
    822            822       -119.175    0.000712619              1
    825            825       -119.177     0.00182857              3
    827            827        -119.18     0.00251753              4
    828            828        -119.18    0.000608166              3
    831            831        -119.18    6.94501e-05              2
    833            833       -119.184     0.00407506              1
    838            838       -119.191     0.00608505              2
    844            844       -119.197     0.00639951              2
    851            851         -119.2     0.00289587              1
    852            852       -119.202     0.00230651              1
    857            857       -119.203    0.000534431              1
    858            858       -119.207      0.0041976              2
    861            861        -119.21     0.00275107              1
    862            862       -119.213     0.00314421              1
    865            865       -119.213    0.000553259              1
    866            866       -119.216     0.00281188              1
    867            867       -119.217     0.00107604              1
    868            868       -119.227      0.0102024              2
    877            877        -119.23     0.00246407              1
    878            878       -119.234     0.00432011              3
    879            879       -119.237     0.00250915              1
    883            883       -119.237    0.000711183              1
    889            889       -119.238    0.000153897              2
    896            896       -119.242     0.00421684              1
    915            915       -119.242    0.000205467              1
    917            917       -119.245      0.0028555              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    918            918       -119.245    0.000364112              1
    921            921       -119.246      0.0011716              1
    938            938        -119.25     0.00394189              1
    942            942       -119.253     0.00289436              1
    946            946       -119.254    0.000763349              1
    949            949       -119.255     0.00111245              2
    952            952       -119.261     0.00537433              1
    953            953       -119.265     0.00449981              1
    954            954       -119.269     0.00426267              1
    957            957       -119.271     0.00178794              1
    960            960       -119.281      0.0103373              1
    961            961       -119.291       0.009978              1
    962            962       -119.295     0.00370169              2
    965            965       -119.296    0.000749903              1
    968            968       -119.298     0.00259592              2
    969            969       -119.299    0.000757908              1
    971            971       -119.302     0.00307028              2
    973            973       -119.307     0.00481253              2
    976            976        -119.31     0.00343154              1
    977            977       -119.314     0.00395399              2
    985            985       -119.324     0.00928547              1
    991            991       -119.324    0.000675701              1
    994            994       -119.327     0.00300934              1
   1002           1002        -119.33     0.00242168              1
   1008           1008       -119.331    0.000799758              1
   1010           1010       -119.335     0.00481904              2
   1014           1014       -119.339     0.00359316              1
   1018           1018       -119.345     0.00614473              3
   1030           1030       -119.348     0.00280627              2
   1032           1032       -119.356      0.0083986              2
   1036           1036       -119.357     0.00075834              1
   1037           1037       -119.358    0.000396673              1
   1038           1038       -119.365     0.00781451              1
   1039           1039       -119.369     0.00361228              1
   1040           1040       -119.372     0.00348488              2
   1044           1044       -119.377        0.00492              1
   1048           1048       -119.378    0.000893305              1
   1052           1052       -119.383      0.0046714              2
   1053           1053       -119.387     0.00366107              1
   1058           1058       -119.389     0.00263912              1
   1059           1059       -119.392     0.00324172              1
   1062           1062       -119.395     0.00243105              1
   1064           1064       -119.395     0.00022782              1
   1066           1066       -119.396     0.00116092              1
   1069           1069       -119.398     0.00189886              1
   1072           1072       -119.399     0.00128028              1
   1075           1075         -119.4    0.000364386              1
   1080           1080       -119.408      0.0082164              2
   1083           1083       -119.415     0.00664733              2
   1085           1085       -119.425       0.010079              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   1091           1091       -119.425    0.000277274              1
   1093           1093       -119.431     0.00634221              1
   1096           1096       -119.432    0.000822874              2
   1112           1112       -119.453      0.0210676              3
   1122           1122       -119.456     0.00302646              1
   1126           1126       -119.463     0.00627142              2
   1127           1127       -119.467     0.00414762              1
   1129           1129        -119.47     0.00320256              1
   1132           1132        -119.47    0.000301681              1
   1135           1135       -119.474     0.00410758              2
   1137           1137       -119.483     0.00822788              2
   1138           1138       -119.485     0.00263985              1
   1141           1141       -119.487     0.00160591              1
   1164           1164       -119.498      0.0112176              2
   1165           1165       -119.499    0.000491049              1
   1168           1168       -119.505     0.00690823              1
   1171           1171       -119.509     0.00384474              1
   1173           1173       -119.511     0.00144477              3
