Gen:        Fevals:          Best:   Improvement:     Mutations:
      1              1       -118.386     0.00550231              2
      2              2       -118.397      0.0109829              1
      3              3       -118.401     0.00390925              1
      4              4        -118.43      0.0292343              3
      7              7       -118.436     0.00525311              1
      8              8       -118.447      0.0114762              1
      9              9       -118.485      0.0376251              2
     10             10       -118.493     0.00823701              1
     12             12       -118.512       0.019077              1
     13             13        -118.53      0.0182049              3
     14             14       -118.532     0.00147402              1
     15             15        -118.54     0.00868551              1
     16             16       -118.581      0.0404153              2
     17             17       -118.611      0.0303686              1
     24             24       -118.621     0.00964463              3
     27             27       -118.637       0.015829              2
     37             37       -118.692      0.0550914              3
     38             38       -118.693    0.000810864              1
     39             39        -118.71      0.0170617              2
     40             40       -118.719      0.0097127              3
     44             44       -118.724     0.00501662              1
     45             45       -118.802      0.0772888              3
     47             47       -118.803     0.00136213              4
     49             49       -118.819      0.0154592              1
     50             50       -118.834      0.0152851              1
     54             54       -118.836      0.0020873              1
     59             59       -118.872      0.0360307              1
     62             62       -118.915      0.0432422              1
     66             66       -118.974      0.0585924              1
     68             68       -118.996       0.021972              1
     69             69       -119.015      0.0193681              1
     70             70       -119.036       0.020984              1
     72             72       -119.042     0.00544937              1
     73             73       -119.043     0.00180212              1
     74             74       -119.064      0.0201781              3
     78             78       -119.134      0.0706882              3
     82             82       -119.141     0.00647423              1
     83             83        -119.17      0.0292095              1
     84             84       -119.174     0.00429785              1
     87             87       -119.229      0.0547863              1
     89             89       -119.259      0.0298705              1
    101            101       -119.276      0.0175034              1
    102            102       -119.284     0.00799368              2
    103            103       -119.339      0.0544037              2
    104            104       -119.376      0.0374341              1
    106            106       -119.383     0.00679776              1
    114            114       -119.433      0.0504504              1
    118            118       -119.489      0.0556433              1
    123            123       -119.563      0.0744355              1
    126            126       -119.588      0.0241539              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
    131            131       -119.591     0.00304896              1
    135            135       -119.715       0.123967              1
    137            137       -119.716     0.00125901              1
    144            144       -119.978       0.261958              3
    154            154       -120.023      0.0455391              1
    159            159       -120.208       0.184217              1
    166            166        -120.53       0.322055              1
    191            191       -120.765       0.235799              2
    197            197       -120.766    6.41347e-06              1
