Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
      1             30       -118.761       0.227042       -118.452        3.43822
      2             60       -118.761       0.272658       -118.482         3.2511
      3             90       -118.761       0.188035       -118.512        3.16317
      4            120       -118.761       0.213722        -118.53        3.01094
      5            150       -118.761       0.192298       -118.544        2.96395
      6            180       -118.761       0.184242       -118.558        2.92774
      7            210       -118.773       0.133904       -118.581        2.78777
      8            240       -118.773       0.198366       -118.609        2.85651
      9            270       -118.773       0.117212       -118.624        2.86204
     10            300       -118.842        0.14573       -118.648        2.85167
     11            330       -118.937       0.212753       -118.679        2.79053
     12            360       -118.956       0.176148       -118.712        2.77006
     13            390       -119.026       0.113681       -118.755        2.60752
     14            420       -119.153        0.10395       -118.788        2.61233
     15            450       -119.227       0.192082       -118.828         2.5621
     16            480       -119.227       0.128946       -118.854        2.55749
     17            510       -119.227       0.200094       -118.874        2.46359
     18            540        -119.24       0.146746       -118.891        2.45241
     19            570       -119.371       0.138655        -118.93        2.46424
     20            600       -119.371       0.139278       -118.994        2.42211
     21            630       -119.408       0.131932       -119.031        2.33765
     22            660       -119.408       0.124887       -119.045        2.47424
     23            690       -119.709       0.113677       -119.095        2.42752
     24            720       -119.724       0.112991       -119.145        2.37882
     25            750       -119.724      0.0935571       -119.187        2.21096
     26            780       -119.724       0.198895       -119.216        2.23959
     27            810       -119.724       0.127693       -119.257        2.11878
     28            840       -119.724       0.177476       -119.304        2.03739
     29            870       -119.822       0.107894       -119.359        2.09793
     30            900       -119.822       0.147716       -119.389        2.05146
     31            930       -119.881       0.134723       -119.457        1.91116
     32            960       -119.881       0.109818       -119.501        1.92534
     33            990       -119.881      0.0956727       -119.535        1.89119
     34           1020       -119.942      0.0649562       -119.585        1.87756
     35           1050       -119.942       0.184724       -119.613        1.93707
     36           1080        -120.27       0.169372       -119.662        1.91471
     37           1110        -120.27       0.134393       -119.739        1.84803
     38           1140        -120.27       0.172246       -119.762        1.90002
     39           1170       -120.394        0.16638        -119.82         1.8541
     40           1200       -120.394       0.119822        -119.84        1.83933
     41           1230       -120.427       0.143485       -119.929        1.78516
     42           1260       -120.427       0.127866       -119.956        1.83638
     43           1290       -120.427       0.161341       -119.998        1.77738
     44           1320       -120.427      0.0686992       -120.039        1.74564
     45           1350       -120.427       0.104722        -120.07        1.78016
     46           1380       -120.581      0.0996125       -120.125        1.72471
     47           1410       -120.933       0.096233         -120.2        1.67151
     48           1440       -120.933      0.0708139       -120.278        1.67438
     49           1470       -120.933      0.0937992       -120.287        1.74158
     50           1500       -120.951      0.0599489       -120.381        1.60799

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
     51           1530       -120.951      0.0869295       -120.416        1.62062
     52           1560       -120.998      0.0859847       -120.471        1.63975
     53           1590        -121.22      0.0593398       -120.522        1.69743
     54           1620       -121.345      0.0921129       -120.628        1.55187
     55           1650       -121.345      0.0604728       -120.694        1.53609
     56           1680       -121.345      0.0780099       -120.746        1.56008
     57           1710       -121.345      0.0448095        -120.78        1.58282
     58           1740       -121.345      0.0536048       -120.812        1.48977
     59           1770       -121.356      0.0429746       -120.858        1.43095
     60           1800       -121.356      0.0298415       -120.898        1.47699
     61           1830       -121.487      0.0824499       -120.933        1.50441
     62           1860       -121.487      0.0451028        -120.97        1.46113
     63           1890       -121.487      0.0679343       -121.032        1.38642
     64           1920       -121.933      0.0620653       -121.101        1.41664
     65           1950       -121.933      0.0488539       -121.158         1.4284
     66           1980       -121.933      0.0533808       -121.181        1.40754
     67           2010       -121.976      0.0620737        -121.27        1.34368
     68           2040       -121.976      0.0590857       -121.306        1.37649
     69           2070       -122.148      0.0511743       -121.333        1.42803
     70           2100       -122.148      0.0442854       -121.333        1.38671
     71           2130       -122.148      0.0656393       -121.374        1.37088
