Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
     72           2160       -122.148      0.0531084       -121.394        1.37752
     73           2190       -122.148      0.0375483       -121.416         1.3561
     74           2220       -122.148      0.0623025       -121.432        1.36989
     75           2250       -122.148      0.0334368       -121.503        1.33413
     76           2280       -122.424       0.038684       -121.546        1.35998
     77           2310       -122.438      0.0371811       -121.616        1.29862
     78           2340       -122.462      0.0328107       -121.636        1.40051
     79           2370       -122.462      0.0808398       -121.664        1.27949
     80           2400       -122.462      0.0578012       -121.746        1.27531
     81           2430        -122.62      0.0694195       -121.799        1.24458
     82           2460        -122.62      0.0477768       -121.833        1.30884
     83           2490       -123.073      0.0504421       -121.864        1.34869
     84           2520       -123.328      0.0423842       -121.939        1.22313
     85           2550       -123.328      0.0398468       -121.953        1.24532
     86           2580       -123.328      0.0431129       -122.024        1.25369
     87           2610       -123.328      0.0271382       -122.079        1.21788
     88           2640       -123.328      0.0318222         -122.1        1.18074
     89           2670       -123.328      0.0208897       -122.191        1.22922
     90           2700       -123.328      0.0274378       -122.245        1.29598
     91           2730       -123.703      0.0432405       -122.284        1.28361
     92           2760       -123.703      0.0337919       -122.344        1.22426
     93           2790       -123.703      0.0286506       -122.442        1.16966
     94           2820       -123.787      0.0296139       -122.567        1.20486
     95           2850       -123.787      0.0257752       -122.603        1.24483
     96           2880       -123.859      0.0258555       -122.659        1.20522
     97           2910       -123.859      0.0174518       -122.712        1.18992
     98           2940       -123.859      0.0119752       -122.788        1.14791
     99           2970       -123.859      0.0254102       -122.805        1.18389
    100           3000       -123.907       0.022697       -122.837        1.13953

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    101           3030       -123.997      0.0207361       -122.879        1.11284
    102           3060       -123.997      0.0164491       -122.949        1.08628
    103           3090       -124.049       0.012078       -123.006        1.09677
    104           3120       -124.062      0.0291188       -123.078        1.12826
    105           3150       -124.079      0.0156751       -123.124        1.11918
    106           3180       -124.206      0.0271161       -123.178        1.14789
    107           3210       -124.206      0.0125811       -123.195        1.14729
    108           3240       -124.206      0.0213299       -123.262        1.11301
    109           3270       -124.206      0.0129308        -123.29         1.0966
    110           3300       -124.244      0.0088169       -123.372          1.014
    111           3330       -124.244      0.0139453       -123.403        1.08187
    112           3360       -124.244     0.00820317       -123.408        1.06691
    113           3390       -124.394       0.019694       -123.449        1.01181
    114           3420       -124.394      0.0166618        -123.48        1.01662
    115           3450       -124.394      0.0162122       -123.516         1.0455
    116           3480       -124.394      0.0153874       -123.561       0.970446
    117           3510       -124.426      0.0230829       -123.667       0.941013
    118           3540       -124.426      0.0149093       -123.672        1.02465
    119           3570       -124.426      0.0170206       -123.736       0.929901
    120           3600       -125.552      0.0276003       -123.813       0.954151
    121           3630       -125.552      0.0309871       -123.879       0.976447
    122           3660       -125.552      0.0205914       -123.949       0.937108
    123           3690       -125.552       0.056284       -124.014        0.94527
    124           3720       -125.552       0.051465        -124.04       0.963428
    125           3750       -125.552       0.030737       -124.083       0.933442
    126           3780       -125.552      0.0623249       -124.109       0.907809
    127           3810       -125.552      0.0487794       -124.184       0.899726
    128           3840       -125.552       0.045948       -124.209       0.905019
    129           3870       -125.552      0.0316667       -124.283       0.889269
    130           3900       -125.639       0.037475       -124.346       0.843027
    131           3930       -125.639      0.0272995       -124.377       0.874486
    132           3960       -125.639      0.0182145       -124.426       0.875482
    133           3990       -125.639      0.0332961       -124.466       0.896962
    134           4020       -126.504      0.0213562       -124.545       0.907984
    135           4050       -126.504      0.0544521       -124.632       0.894109
    136           4080       -126.504      0.0409853       -124.686       0.922864
    137           4110       -126.504      0.0454851       -124.724       0.916872
    138           4140       -126.504      0.0462323       -124.763       0.847955
    139           4170       -126.504      0.0311206        -124.85       0.854148
    140           4200       -126.504      0.0590463       -124.932        0.87684
    141           4230       -126.504      0.0415463       -124.976       0.866819
    142           4260       -126.504       0.038771       -125.022       0.827325
    143           4290       -126.504      0.0383675       -125.058       0.816272
    144           4320       -126.612      0.0455407       -125.113       0.826344
    145           4350       -126.612      0.0368444       -125.159       0.827049
    146           4380       -126.612      0.0439777       -125.233       0.795369
    147           4410       -126.612      0.0834782       -125.288       0.837512
    148           4440       -126.756      0.0556784       -125.374       0.801276
    149           4470       -126.756      0.0480435       -125.485       0.795942
    150           4500       -126.756      0.0338617        -125.57       0.765902

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    151           4530       -126.756      0.0484499       -125.638       0.748298
    152           4560       -126.756      0.0361174        -125.66       0.743118
    153           4590       -126.925      0.0436775         -125.7       0.730113
    154           4620       -126.925      0.0451419       -125.708       0.756247
    155           4650       -126.925      0.0500097       -125.828       0.734304
    156           4680       -126.925       0.059984       -125.868       0.734968
    157           4710       -126.925        0.04879       -125.964       0.685846
    158           4740       -126.991        0.05761       -126.057       0.687976
    159           4770       -126.991      0.0535968       -126.088       0.735898
    160           4800       -127.185      0.0522135       -126.133       0.704377
    161           4830       -127.334      0.0621206       -126.187       0.678056
    162           4860       -127.334      0.0604972       -126.268       0.665696
    163           4890       -127.334      0.0374728       -126.277       0.688725
    164           4920       -127.334       0.059454       -126.329       0.711117
    165           4950       -127.334      0.0430066       -126.401       0.682184
    166           4980       -127.334      0.0446896       -126.404       0.651231
    167           5010       -127.334      0.0432191       -126.473       0.669263
    168           5040       -127.334      0.0388316       -126.533       0.658551
    169           5070       -127.334      0.0448422       -126.568       0.652444
    170           5100       -127.334      0.0298509       -126.618       0.639976
    171           5130       -127.444      0.0664544       -126.692       0.636832
    172           5160       -127.444      0.0525089         -126.7        0.67204
    173           5190       -127.444      0.0615183       -126.713       0.635169
    174           5220        -127.51      0.0500755        -126.75        0.62281
    175           5250        -127.51      0.0470938       -126.759        0.62411
    176           5280        -127.51      0.0484769       -126.796       0.604679
    177           5310        -127.51      0.0871188       -126.808       0.616226
    178           5340       -127.584      0.0643291       -126.839       0.605468
    179           5370       -127.584      0.0659954       -126.876       0.606045
    180           5400       -127.584      0.0611591       -126.891       0.599963
    181           5430       -127.803      0.0552132        -126.96        0.57969
    182           5460       -127.803      0.0562063       -127.002       0.606293
    183           5490       -127.803      0.0626598       -127.045       0.607589
    184           5520       -127.819      0.0424211       -127.146       0.556557
    185           5550         -127.9      0.0502682       -127.194       0.569933
    186           5580         -127.9      0.0503552       -127.245       0.575277
    187           5610       -127.935      0.0523878       -127.329       0.572856
    188           5640       -127.981      0.0467467       -127.387       0.582699
    189           5670       -127.981      0.0397535       -127.395       0.621298
    190           5700       -127.981      0.0635562       -127.411       0.574352
    191           5730       -127.981      0.0581057       -127.455        0.57246
    192           5760       -128.041      0.0511192       -127.463       0.577011
    193           5790       -128.041      0.0523321       -127.481       0.566624
    194           5820       -128.093      0.0480839       -127.485       0.575877
    195           5850       -128.093      0.0403638       -127.537       0.549605
    196           5880       -128.215      0.0511413       -127.573       0.567183
    197           5910       -128.392      0.0536484       -127.592       0.555141
    198           5940       -128.457      0.0595311       -127.619       0.553242
    199           5970       -128.706      0.0526881        -127.66       0.527257
    200           6000       -128.706      0.0501205       -127.664       0.571201

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    201           6030       -128.706      0.0451843       -127.664       0.548915
    202           6060       -128.706      0.0539896       -127.685       0.547538
    203           6090       -128.706      0.0405091       -127.709       0.552927
    204           6120       -128.706       0.053699       -127.715        0.58058
    205           6150       -128.706      0.0388357       -127.742        0.58363
    206           6180       -128.706       0.061683       -127.758       0.534739
    207           6210       -128.706      0.0335839       -127.789       0.514629
    208           6240       -128.706      0.0400454       -127.798       0.530264
    209           6270       -128.706      0.0338513       -127.811        0.56312
    210           6300       -128.706      0.0469568       -127.826       0.532817
    211           6330       -128.706      0.0326241       -127.833       0.517675
    212           6360       -128.706      0.0400917       -127.869        0.51204
    213           6390       -128.706      0.0304448       -127.905       0.543019
    214           6420       -128.706      0.0410495       -127.918       0.554514
    215           6450       -128.946      0.0336399       -127.987        0.52608
    216           6480       -128.946       0.043271        -127.99       0.549645
    217           6510       -128.946      0.0341263       -128.018       0.516096
    218           6540       -128.982      0.0407056       -128.055       0.504737
    219           6570       -128.982      0.0470188       -128.081       0.506334
    220           6600       -128.982      0.0308891       -128.098         0.5171
    221           6630       -128.982      0.0464776       -128.141       0.496372
    222           6660       -128.982       0.048013       -128.186       0.468081
    223           6690       -129.169      0.0384048        -128.23       0.494003
    224           6720       -129.472      0.0382713       -128.258       0.509265
    225           6750       -129.472      0.0318044       -128.283       0.506489
    226           6780       -129.472      0.0527658       -128.331       0.469372
    227           6810       -129.472      0.0301243       -128.371       0.469958
    228           6840       -129.591      0.0440342       -128.413       0.477034
    229           6870       -129.606      0.0670947       -128.489       0.460275
    230           6900       -129.819      0.0504951       -128.545       0.478238
    231           6930       -129.819      0.0496879        -128.55       0.488753
    232           6960       -129.819      0.0533375       -128.578       0.463008
    233           6990       -129.971      0.0466423       -128.647       0.487951
    234           7020       -129.971      0.0553384       -128.688       0.499464
    235           7050       -129.971      0.0456732       -128.712       0.491793
    236           7080       -129.971      0.0570926       -128.726        0.48633
    237           7110       -130.074      0.0498578       -128.752       0.451289
    238           7140       -130.074      0.0522231       -128.785        0.45668
    239           7170       -130.074      0.0358825       -128.801       0.487118
    240           7200       -130.074      0.0632035       -128.831       0.469615
    241           7230       -130.074      0.0461578       -128.857       0.445052
    242           7260       -130.074      0.0503218       -128.911       0.425773
    243           7290       -130.161      0.0390856       -128.965        0.47401
    244           7320       -130.161      0.0426091       -129.051       0.452936
    245           7350       -130.161      0.0313632       -129.106       0.435726
    246           7380       -130.161      0.0395846       -129.118       0.448773
    247           7410       -130.161      0.0327851       -129.167       0.463953
    248           7440       -130.223       0.035126       -129.244       0.426519
    249           7470       -130.223      0.0341226        -129.27       0.432222
    250           7500       -130.223      0.0350245       -129.276       0.426136

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    251           7530       -130.379      0.0374545       -129.289       0.432871
    252           7560       -130.418      0.0431049       -129.299       0.461862
    253           7590       -130.477      0.0283337       -129.335       0.435799
    254           7620       -130.477      0.0466283       -129.354       0.438572
    255           7650       -130.502      0.0342464       -129.432       0.417648
    256           7680       -130.502      0.0409911       -129.469       0.424312
    257           7710       -130.692      0.0282599       -129.522       0.436466
    258           7740       -130.692      0.0421063       -129.533       0.431535
    259           7770       -130.692      0.0285846       -129.544       0.433452
    260           7800       -130.845      0.0396249       -129.622       0.420335
    261           7830       -130.845      0.0347773       -129.671       0.447843
    262           7860       -130.845      0.0459607       -129.693       0.419937
    263           7890       -130.845      0.0264285       -129.729       0.432347
    264           7920       -130.845      0.0468942       -129.754        0.40376
    265           7950       -130.845      0.0295714       -129.807       0.422003
    266           7980       -130.845      0.0365819        -129.83       0.426063
    267           8010       -130.845       0.026973       -129.847       0.414566
    268           8040       -131.125      0.0432531       -129.928       0.389013
    269           8070       -131.125      0.0242678       -129.963       0.394637
    270           8100       -131.125       0.031007       -129.976       0.396353
    271           8130       -131.125      0.0286096       -129.997       0.380755
    272           8160       -131.125      0.0229959       -130.093       0.372924
    273           8190       -131.217       0.025868       -130.177       0.393323
    274           8220       -131.217      0.0196392        -130.24       0.389824
    275           8250       -131.261        0.02417       -130.334       0.400333
    276           8280       -131.261       0.020258       -130.374       0.399296
    277           8310       -131.261      0.0219248        -130.39       0.394139
    278           8340       -131.438      0.0250241       -130.421       0.399008
    279           8370       -131.438      0.0218226       -130.442       0.395619
    280           8400       -131.438      0.0262848       -130.472       0.398123
    281           8430       -131.438      0.0197118       -130.494       0.426318
    282           8460       -131.438      0.0170491       -130.512       0.403766
    283           8490       -131.438       0.023256       -130.574       0.408809
    284           8520       -131.438      0.0169836        -130.59       0.397367
    285           8550       -131.621      0.0220892       -130.611       0.414958
    286           8580       -131.621      0.0147253       -130.641       0.392597
    287           8610       -131.621      0.0214742       -130.697        0.36521
    288           8640       -131.621       0.010916       -130.718       0.380472
    289           8670       -131.621      0.0116569        -130.73       0.357221
    290           8700        -132.04      0.0210124       -130.847       0.360834
    291           8730        -132.04      0.0126386       -130.872       0.357121
    292           8760        -132.04      0.0273857       -130.928       0.364086
    293           8790        -132.04       0.013071       -130.956       0.363445
    294           8820        -132.04      0.0205083       -130.989       0.349973
    295           8850        -132.04      0.0181633       -131.029       0.334094
    296           8880        -132.04      0.0118251       -131.063       0.346237
    297           8910        -132.04      0.0176045       -131.083       0.357831
    298           8940        -132.04      0.0107196       -131.083       0.340557
    299           8970        -132.04      0.0142032       -131.098       0.334535
    300           9000        -132.04      0.0122598       -131.108       0.336067

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    301           9030        -132.04      0.0141874       -131.114       0.332447
    302           9060        -132.04      0.0112868       -131.129       0.331956
    303           9090        -132.04     0.00711973       -131.137       0.313792
    304           9120        -132.04       0.015232       -131.148        0.33213
    305           9150        -132.04      0.0195536       -131.187       0.322164
    306           9180        -132.04       0.013669       -131.199        0.33596
    307           9210        -132.04      0.0129416       -131.199       0.322475
    308           9240        -132.04       0.014078       -131.216       0.318971
    309           9270        -132.04      0.0125277       -131.256       0.284047
    310           9300        -132.04      0.0123069       -131.283       0.293108
    311           9330        -132.04     0.00804608       -131.315       0.306765
    312           9360       -132.291     0.00927021       -131.376       0.301724
    313           9390       -132.291     0.00713959       -131.433       0.305161
    314           9420       -132.291     0.00495852       -131.448       0.296786
    315           9450       -132.291     0.00587033       -131.462       0.316422
    316           9480       -132.291     0.00495503       -131.505       0.299086
    317           9510       -132.396     0.00331136        -131.53       0.297458
    318           9540       -132.514     0.00496701       -131.548       0.308632
    319           9570       -132.514     0.00450882       -131.558       0.301429
    320           9600       -132.514     0.00722332        -131.58       0.310015
    321           9630       -132.514     0.00435106       -131.627       0.284555
    322           9660       -132.514     0.00793927       -131.649       0.288748
    323           9690       -132.514     0.00696312       -131.684       0.278717
    324           9720       -132.514     0.00544703       -131.703       0.286349
    325           9750       -132.644     0.00891545       -131.756       0.279147
    326           9780       -132.644     0.00575185       -131.792       0.286136
    327           9810       -132.644     0.00649128       -131.833       0.298592
    328           9840       -132.644     0.00460049       -131.841       0.313658
    329           9870       -132.644     0.00548751       -131.858        0.30301
    330           9900       -132.644     0.00530591       -131.885       0.288598
    331           9930       -132.849     0.00455358       -131.938       0.287621
    332           9960       -132.849      0.0049974       -131.993       0.289118
    333           9990       -132.849     0.00586143       -132.085       0.299023
    334          10020       -132.849     0.00383447       -132.093       0.296202
    335          10050       -132.849     0.00408896       -132.109       0.287715
    336          10080       -132.849     0.00384652       -132.118       0.284514
    337          10110       -132.849     0.00960854       -132.141       0.265301
    338          10140       -132.849     0.00556271       -132.154       0.268221
    339          10170       -132.951     0.00668086       -132.192       0.274148
    340          10200       -132.978     0.00439479       -132.219       0.266041
    341          10230       -132.978       0.024899       -132.263       0.271933
    342          10260       -133.011      0.0160544       -132.314       0.267246
    343          10290       -133.068      0.0264593       -132.346       0.280293
    344          10320       -133.102       0.014137       -132.362       0.269321
    345          10350       -133.102      0.0237398       -132.383       0.254092
    346          10380       -133.322      0.0120971       -132.435        0.25652
    347          10410       -133.322        0.01936       -132.459       0.257207
    348          10440        -133.55      0.0159139       -132.507       0.266127
    349          10470        -133.55        0.01414       -132.544       0.248532
    350          10500        -133.55      0.0150629       -132.561       0.243041

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    351          10530        -133.55      0.0166719       -132.571       0.245941
    352          10560       -133.569      0.0150844        -132.59       0.225716
    353          10590       -133.569      0.0163661        -132.64       0.246658
    354          10620       -133.569      0.0115272       -132.662       0.241789
    355          10650       -133.579      0.0152107       -132.717       0.226521
    356          10680       -133.579      0.0157749       -132.746       0.229079
    357          10710       -133.579      0.0140922       -132.785       0.242873
    358          10740       -133.579      0.0182876       -132.862       0.234177
    359          10770       -133.579      0.0150694       -132.895       0.238393
    360          10800       -133.619      0.0148631       -132.965       0.230891
    361          10830       -133.619      0.0118508       -132.978       0.240928
    362          10860       -133.619      0.0126006       -132.984       0.225079
    363          10890       -133.715      0.0110912       -133.011        0.22824
    364          10920       -134.108      0.0119481       -133.044       0.232735
    365          10950       -134.108     0.00990535       -133.071       0.234346
    366          10980       -134.108     0.00735923       -133.073       0.234897
    367          11010       -134.108     0.00984194       -133.073       0.241869
    368          11040       -134.108     0.00481647       -133.087       0.232227
    369          11070       -134.108     0.00908981        -133.09       0.253818
    370          11100       -134.108     0.00750213       -133.102       0.230721
    371          11130       -134.108     0.00847558       -133.103       0.243291
    372          11160       -134.108     0.00605949       -133.115       0.238688
    373          11190       -134.108     0.00553106       -133.115       0.273751
    374          11220       -134.108     0.00711673       -133.179       0.239172
    375          11250       -134.108     0.00406186       -133.181       0.273796
    376          11280       -134.108     0.00421198       -133.215       0.232695
    377          11310       -134.108     0.00535562       -133.229        0.26882
    378          11340       -134.184     0.00267743       -133.236       0.246861
    379          11370       -134.184     0.00653784       -133.257       0.262235
    380          11400       -134.184     0.00237166       -133.273       0.235389
    381          11430       -134.184     0.00271283       -133.297       0.247511
    382          11460       -134.191     0.00288763       -133.308        0.26656
    383          11490       -134.191     0.00256446       -133.324       0.259526
    384          11520       -134.191     0.00159803       -133.337       0.250524
    385          11550       -134.191     0.00652025       -133.372       0.242654
    386          11580       -134.191     0.00347251       -133.375        0.24729
    387          11610       -134.191     0.00452056       -133.379       0.231359
    388          11640       -134.191     0.00564676       -133.394       0.230906
    389          11670       -134.191     0.00470889       -133.419       0.241842
    390          11700       -134.191     0.00962257       -133.427       0.231721
    391          11730       -134.191     0.00870017       -133.461       0.234493
    392          11760       -134.232      0.0118035       -133.484       0.238951
    393          11790       -134.236      0.0108341       -133.485       0.251636
    394          11820       -134.236      0.0107112       -133.504       0.248107
    395          11850       -134.236      0.0121411       -133.528       0.246686
    396          11880       -134.236     0.00889977       -133.555       0.239293
    397          11910       -134.236      0.0106766       -133.565        0.25961
    398          11940       -134.236      0.0106622       -133.584        0.23755
    399          11970       -134.474     0.00694229       -133.609       0.261849
    400          12000       -134.474     0.00879915       -133.638       0.232403

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    401          12030       -134.474     0.00842572       -133.638       0.224188
    402          12060       -134.474     0.00585128       -133.643       0.238693
    403          12090       -134.474     0.00971906       -133.652        0.21918
    404          12120       -134.474     0.00790262       -133.673       0.236616
    405          12150       -134.474     0.00741108       -133.688       0.213464
    406          12180       -134.474     0.00846053       -133.709       0.218547
    407          12210       -134.474     0.00793196       -133.761       0.208488
    408          12240       -134.474     0.00761297       -133.772       0.209882
    409          12270       -134.474      0.0110114       -133.783       0.216775
    410          12300       -134.474     0.00634575       -133.806       0.221162
    411          12330       -134.474     0.00733646       -133.819       0.223341
    412          12360       -134.474      0.0083287       -133.825       0.213785
    413          12390       -134.474     0.00732026       -133.836       0.205537
    414          12420       -134.474      0.0061693       -133.858       0.200745
    415          12450       -134.474      0.0077407       -133.872       0.205556
    416          12480       -134.726     0.00514564       -133.888       0.188508
    417          12510       -134.726     0.00567628       -133.903       0.202969
    418          12540       -134.726     0.00490113       -133.925       0.205112
    419          12570       -134.726     0.00464672       -133.945       0.206956
    420          12600       -134.726     0.00326202       -133.961       0.204031
    421          12630       -134.726     0.00237505       -133.975       0.194712
    422          12660       -134.726     0.00360956       -134.011       0.180079
    423          12690       -134.726     0.00592456       -134.028       0.195511
    424          12720       -134.736     0.00363648       -134.041        0.19351
    425          12750       -134.756     0.00559057       -134.079       0.190637
    426          12780       -134.756     0.00487747       -134.092       0.180327
    427          12810       -134.756      0.0038339       -134.107       0.186905
    428          12840        -134.79     0.00467168       -134.123       0.184881
    429          12870        -134.79     0.00382047       -134.151       0.181145
    430          12900        -134.79     0.00589742       -134.186       0.183905
    431          12930        -134.79     0.00442582        -134.19       0.177976
    432          12960       -134.822     0.00590743       -134.197        0.17298
    433          12990       -134.858     0.00471358       -134.209       0.177966
    434          13020       -134.865     0.00600861       -134.229       0.179711
    435          13050       -134.865      0.0075578       -134.235       0.179259
    436          13080       -134.865     0.00461213       -134.252       0.173604
    437          13110        -134.92     0.00585963        -134.27       0.177974
    438          13140        -134.92     0.00436168       -134.277       0.174799
    439          13170        -134.95      0.0064782       -134.297       0.169153
    440          13200       -134.955      0.0066834       -134.309       0.175457
    441          13230       -134.955     0.00645241        -134.35       0.175735
    442          13260       -134.955     0.00584142       -134.361       0.172855
    443          13290       -134.955     0.00631472       -134.367       0.155217
    444          13320       -134.975     0.00484992       -134.368       0.161859
    445          13350       -134.997     0.00398668       -134.385        0.17402
    446          13380       -134.997     0.00395529       -134.389       0.168504
    447          13410       -134.997     0.00646307       -134.396       0.164502
    448          13440       -134.997     0.00401522       -134.405       0.158786
    449          13470       -135.083     0.00406138       -134.409       0.172253
    450          13500       -135.083     0.00390749       -134.421        0.15908

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    451          13530       -135.083     0.00383861       -134.433       0.161496
    452          13560        -135.15     0.00331051       -134.451        0.15429
    453          13590        -135.15     0.00416598       -134.455       0.162445
    454          13620        -135.15     0.00278138       -134.474       0.153022
    455          13650        -135.15      0.0034627       -134.488       0.166244
    456          13680        -135.15     0.00314005       -134.497       0.160984
    457          13710        -135.15     0.00342083       -134.504        0.16137
    458          13740        -135.15     0.00364104       -134.509       0.168253
    459          13770        -135.15     0.00180702       -134.516       0.161241
    460          13800       -135.162     0.00511041       -134.533       0.152264
    461          13830       -135.228     0.00226773       -134.557       0.153621
    462          13860       -135.228      0.0039298       -134.559        0.16344
    463          13890       -135.228     0.00511197       -134.582       0.145849
    464          13920       -135.228     0.00248436       -134.595       0.157342
    465          13950       -135.228     0.00739383       -134.634       0.150762
    466          13980       -135.228     0.00565172       -134.637       0.145506
    467          14010       -135.228     0.00503109       -134.651       0.150915
    468          14040       -135.228     0.00661769       -134.658       0.149409
    469          14070       -135.228     0.00468365       -134.695        0.14394
    470          14100       -135.228     0.00583151       -134.717       0.144797
    471          14130       -135.228     0.00478347       -134.741       0.146034
    472          14160       -135.228     0.00446855       -134.747       0.143085
    473          14190       -135.228      0.0044702       -134.761       0.134587
    474          14220       -135.228      0.0115635       -134.771       0.146025
    475          14250       -135.228     0.00742733         -134.8       0.136532
    476          14280       -135.228      0.0209343       -134.804       0.141264
    477          14310       -135.233     0.00860063       -134.832       0.148772
    478          14340       -135.233      0.0186333       -134.835       0.139607
    479          14370       -135.311     0.00977725        -134.85       0.140129
    480          14400       -135.311      0.0129944       -134.877       0.130137
    481          14430       -135.311     0.00750138       -134.879        0.14239
    482          14460       -135.311       0.012101       -134.895       0.136268
    483          14490       -135.311     0.00872561       -134.901       0.129355
    484          14520       -135.311      0.0105703       -134.919       0.132102
    485          14550       -135.311     0.00722624       -134.947        0.13085
    486          14580       -135.311      0.0101531       -134.948       0.130958
    487          14610       -135.311     0.00644038       -134.952       0.128364
    488          14640       -135.311         0.0121       -134.982       0.121561
    489          14670       -135.311     0.00673263       -135.007       0.122188
    490          14700       -135.311     0.00975903        -135.03       0.126852
    491          14730       -135.343     0.00704178       -135.041       0.123663
    492          14760       -135.343     0.00800365       -135.049       0.125813
    493          14790       -135.421     0.00660978       -135.064       0.124775
    494          14820       -135.421     0.00558731       -135.071       0.128929
    495          14850       -135.421      0.0078709       -135.085       0.128471
    496          14880       -135.421     0.00611037       -135.107       0.131493
    497          14910       -135.421     0.00444907       -135.113        0.12974
    498          14940       -135.421     0.00479874       -135.134       0.131488
    499          14970       -135.453     0.00312175       -135.143       0.132893
    500          15000       -135.453     0.00536117       -135.145       0.129793

   Gen:        Fevals:         gbest:     Mean Vel.:    Mean lbest:    Avg. Dist.:
    501          15030       -135.453     0.00265941       -135.154       0.120499
    502          15060       -135.453     0.00757891       -135.157       0.137968
